source,package,is_test,result,start,ccache_s,gap_before_s,wall_s,o_mtime_gap_s,c_bytes
__constants.c,<nuitka>,False,direct_cache_hit,2026-09-23T10:34:12.233178,0.255,0.000,0.255,0.000,9916
__helpers.c,<nuitka>,False,direct_cache_hit,2026-09-23T10:34:12.541979,0.144,0.054,0.198,0.199,343423
__loader.c,<nuitka>,False,cache_miss,2026-09-23T10:34:12.757544,4.248,0.072,4.319,4.243,1059680
module.PIL.AvifImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.071025,0.135,0.066,0.201,0.278,506170
module.PIL.BdfFontFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.249692,0.136,0.043,0.179,0.178,224964
module.PIL.BlpImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.450995,0.130,0.065,0.195,0.196,1196768
module.PIL.BmpImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.631091,0.127,0.050,0.176,0.178,831032
module.PIL.BufrStubImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.800047,0.125,0.042,0.168,0.168,147917
module.PIL.ContainerIO.c,PIL,False,direct_cache_hit,2026-09-23T10:34:17.974833,0.136,0.049,0.185,0.184,264662
module.PIL.CurImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.169988,0.149,0.059,0.208,0.206,213556
module.PIL.DcxImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.359253,0.123,0.040,0.163,0.166,168274
module.PIL.DdsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.534996,0.133,0.053,0.186,0.187,1123064
module.PIL.EpsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.718604,0.145,0.051,0.196,0.194,650935
module.PIL.ExifTags.c,PIL,False,direct_cache_hit,2026-09-23T10:34:18.916273,0.133,0.053,0.186,0.186,588132
module.PIL.FitsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.094163,0.141,0.045,0.186,0.185,328398
module.PIL.FliImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.289663,0.134,0.054,0.188,0.189,348376
module.PIL.FontFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.471622,0.137,0.048,0.185,0.183,273786
module.PIL.FpxImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.658968,0.125,0.050,0.175,0.176,374295
module.PIL.FtexImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:19.831635,0.141,0.048,0.189,0.189,206714
module.PIL.GbrImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.019414,0.145,0.047,0.192,0.191,178520
module.PIL.GdImageFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.219228,0.140,0.055,0.195,0.196,155744
module.PIL.GifImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.421387,0.143,0.062,0.205,0.205,1794794
module.PIL.GimpGradientFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.613528,0.128,0.049,0.177,0.176,318531
module.PIL.GimpPaletteFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.791766,0.140,0.051,0.190,0.189,122619
module.PIL.GribStubImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:20.976954,0.130,0.045,0.175,0.177,151281
module.PIL.Hdf5StubImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.151105,0.129,0.044,0.173,0.174,148745
module.PIL.IcnsImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.337894,0.151,0.058,0.209,0.209,670304
module.PIL.IcoImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.547966,0.137,0.059,0.196,0.195,658531
module.PIL.ImImagePlugin.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.739204,0.122,0.054,0.177,0.178,584451
module.PIL.Image.c,PIL,False,direct_cache_hit,2026-09-23T10:34:21.979666,0.144,0.118,0.262,0.260,4939341
module.PIL.ImageChops.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.172374,0.139,0.049,0.188,0.188,289532
module.PIL.ImageCms.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.370497,0.133,0.059,0.192,0.194,878313
module.PIL.ImageColor.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.554313,0.141,0.050,0.192,0.192,233433
module.PIL.ImageDraw.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.766258,0.149,0.071,0.220,0.219,1384533
module.PIL.ImageDraw2.c,PIL,False,direct_cache_hit,2026-09-23T10:34:22.963718,0.131,0.049,0.180,0.180,332434
module.PIL.ImageEnhance.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.147400,0.152,0.052,0.204,0.203,249506
module.PIL.ImageFile.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.371746,0.145,0.073,0.218,0.216,1369106
module.PIL.ImageFilter.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.581154,0.158,0.064,0.222,0.224,1105910
module.PIL.ImageFont.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.802647,0.138,0.064,0.202,0.202,1015669
module.PIL.ImageGrab.c,PIL,False,direct_cache_hit,2026-09-23T10:34:23.998997,0.150,0.058,0.208,0.208,149306
module.PIL.ImageMath.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.205930,0.141,0.057,0.198,0.199,624843
module.PIL.ImageMode.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.394999,0.134,0.048,0.182,0.182,106951
module.PIL.ImageMorph.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.573954,0.145,0.045,0.189,0.186,414220
module.PIL.ImageOps.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.776813,0.138,0.058,0.196,0.199,899679
module.PIL.ImagePalette.c,PIL,False,direct_cache_hit,2026-09-23T10:34:24.963323,0.135,0.049,0.183,0.185,485819
module.PIL.ImagePath.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.138246,0.135,0.040,0.175,0.173,31199
module.PIL.ImageQt.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.320375,0.135,0.048,0.183,0.182,388174
module.PIL.ImageSequence.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.510613,0.144,0.055,0.199,0.198,124693
module.PIL.ImageShow.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.710040,0.148,0.055,0.203,0.205,640716
module.PIL.ImageStat.c,PIL,False,direct_cache_hit,2026-09-23T10:34:25.904803,0.142,0.047,0.189,0.187,290932
module.PIL.ImageText.c,PIL,False,direct_cache_hit,2026-09-23T10:34:26.104754,0.137,0.058,0.195,0.196,619592
